rent_1;Nombre;ImportFile_CustomDelayToBuy;Dias_depl_reemb;ISIN;Gestora;Inv_minima_inicial;1_Day_Return;1_Week_Return;rent_1_mes;rent_3_meses;rent_6_meses;rent_en_el_anio;rent_3_anios;rent_5_anios;rent_10_anios;Estilo_inversion_RV;Estilo_inversion_ RF;Capitaliz_media_bursatil;Patrimonio;Morningstar_Rating;Volatilidad_3;Sharpe_ 3;Ratio_de_informacion;Media_3;Com_Gestion;ImportFile_CustomBuyFee2;Com_Suscripcion;Com_deposito
-6,05;Caminos Bolsa Oportunidades FI;0;1;ES0138253036;Gestifonsa SGIIC;6;-0,73;-0,36;-1,27;-1,8;1,82;-3,88;0,31;6,44;-2,49;5;;3151,63962;16,84355;3;12,92;0,16;0,1;0,17;2,25;0;0;0,13
-6,19;Fonalcalá FI;0;2;ES0138932035;Gesalcalá SGIIC;6;0,15;0,25;-0,34;-1,54;-0,74;-4,8;0,34;1,76;-0,64;2;;13043,64526;12,76263;2;5,78;0,12;-1,92;0,05;2;0;0;0,07
-6,2;Quality Valor FI;0;2;ES0114122031;BBVA Asset Management SGIIC;10000;0,22;0,1;0,06;-0,14;0,86;-2,16;-2,98;0,4;;2;;53131,35619;46,24946;;5,95;-0,49;;-0,25;1,25;0;0;0,1
-6,39;Eurovalor Mixto-70 FI;0;1;ES0133865032;Allianz Popular Asset Management SGIIC;600;0,75;1,9;1,48;0,54;3,49;-3,54;1,62;6,28;-0,25;1;;51811,85688;63,00897;2;10,17;0,2;-1,29;0,16;2,25;0;0;0
-6,59;Caja Ingenieros Global FI;1;1;ES0114988035;Caja Ingenieros Gestión SGIIC;500;-0,32;1,88;-1,36;-2;1,58;-3,18;6,69;10,41;3,41;3;;26742,33034;65,79731;3;11,49;0,66;-1,55;0,63;1,35;0;0;0,2
-6,74;Bankinter Mixto Flexible FI;0;1;ES0114877030;Bankinter Gestión de Activos SGIIC;500;0,41;2,42;1,4;1,3;2,65;-4,12;2,26;6,36;1,83;1;;31191,01533;127,2489;3;9,63;0,27;-0,75;0,21;1,6;0;0;0,15
-6,77;GVC Gaesco Patrimonialista A FI;0;4;ES0141114001;GVC Gaesco Gestión SGIIC;0;0,24;1,33;-0,06;-0,94;1,05;-4,38;1,05;3,34;;;;;67,5819;3;5,88;0,2;-2,59;0,09;2,25;0;0;0,1
-6,81;Gestión Multiperfil Agresivo FI;0;2;ES0125322042;Andbank Wealth Management SGIIC;1;0,37;1,06;-0,59;-1,73;2,4;-5,21;4,15;;;3;7;16858,69044;16,05143;4;9,63;0,48;-0,88;0,38;1,35;0;0;0,1
-6,82;Caja Ingenieros Iberian Equity FI;1;1;ES0122708037;Caja Ingenieros Gestión SGIIC;100;-1,17;-0,59;-1,96;-1,13;1,5;-2,29;1,27;6,95;-0,11;2;;6500,83119;20,79796;4;13,4;0,23;0,26;0,25;1,35;0;0;0,2
-6,83;Bankinter Eurostoxx 2018 Garantizado FI;0;2;ES0113815031;Bankinter Gestión de Activos SGIIC;500;0,37;0,87;0,42;-0,15;0,46;-4,52;1,15;;;;;;17,82829;;7,92;0,2;;0,13;1,4;0;5;0,1
-6,88;Boreas Cartera Activa R FI;0;2;ES0114902002;Tressis Gestión SGIIC;60;0,34;1,12;-1,12;-2,08;0,86;-5,7;2,07;4,89;;3;7;18917,28609;16,07339;3;9,6;0,29;-1,28;0,23;1,75;0;0;0,1
-6,97;Tramontana Retorno Absoluto Audaz FI;0;3;ES0179692001;GVC Gaesco Gestión SGIIC;0;2,53;3,74;0,74;-0,54;2,16;-3,14;;;;1;;68964,409;3,40014;;;;;;2,1;0;0;0,08
-6,98;Mistral Cartera Equilibrada R FI;0;2;ES0164103030;Tressis Gestión SGIIC;600;0,36;0,75;-0,52;-1,64;-0,46;-6,08;1,4;3,99;1,63;3;8;29751,66885;73,35224;3;6,36;0,28;-2,11;0,14;1,6;0;0;0,2
-7;BBVA Crecimiento Europa Diversificado II FI;0;1;ES0114128038;BBVA Asset Management SGIIC;600;0,13;0,56;0,95;0;-0,06;-5,09;0,35;;;;;;41,03377;;6,06;0,14;;0,07;1,54;0;5;0,05
-7,05;Welzia Flexible 10 FI;0;1;ES0184684035;Welzia Management SGIIC;100;1,16;1,64;0,36;-1,09;-0,68;-4,9;-1,36;2,12;-1,13;2;;21082,61649;13,57295;1;7,26;-0,2;-2,52;-0,13;0,9;0;0;0,08
-7,06;Eurovalor Emergentes Empresas Europeas FI;0;1;ES0133612038;Allianz Popular Asset Management SGIIC;600;0;0,36;-1,99;-3,45;3,13;-3,07;1,99;;;3;;27529,89113;6,73149;3;13,06;0,27;-0,37;0,29;2,25;0;0;0
-7,14;Welzia Crecimiento 15 FI;0;1;ES0184676031;Welzia Management SGIIC;100;1,85;3,17;1,08;-1,5;-0,37;-4,72;0,32;4,9;-1,27;2;;14605,79993;37,30796;2;10,77;0,04;-1,38;0,03;0,9;0;0;0,08
-7,14;Santander Small Caps Europa FI;0;1;ES0107987036;Santander Asset Management SGIIC;300;0,37;0,15;-3,09;-2,73;-0,4;-6,51;4,62;12,64;3,58;6;;2621,61046;195,76333;3;13,88;0,45;-0,36;0,51;2,1;0;0;0,1
-7,16;atl Capital Quant 5 FI;0;1;ES0111052009;Atl 12 Capital Gestión SGIIC;10;0,19;-0,28;0,32;-0,6;-3,87;-7,71;-2,11;;;;;;7,47634;;6;-0,34;;-0,17;1;0;0;0,1
-7,35;BBVA Rentabilidad Europa Garantizado FI;0;1;ES0108934003;BBVA Asset Management SGIIC;600;0,42;0,72;0,24;-0,4;-0,75;-5,44;0,66;;;;;;12,749;;7,5;0,11;;0,07;1,14;0;5;0,05
-7,39;atl Capital Cartera Táctica FI;0;2;ES0111151009;Atl 12 Capital Gestión SGIIC;10;0,69;1,26;0,14;0,18;0,31;-4,96;0,36;3,2;;2;;16753,10659;8,62694;2;6,69;0,08;-1,54;0,04;1,35;0;0;0,1
-7,4;BBVA Rentabilidad Europa Garantizado II FI;0;1;ES0114142039;BBVA Asset Management SGIIC;600;1,05;1,47;1,13;0,58;0,5;-4,83;1,86;;;;;;139,7142;;8,15;0,22;;0,15;1,06;0;5;0,05
