rent_1;Nombre;ImportFile_CustomDelayToBuy;Dias_depl_reemb;ISIN;Gestora;Inv_minima_inicial;1_Day_Return;1_Week_Return;rent_1_mes;rent_3_meses;rent_6_meses;rent_en_el_anio;rent_3_anios;rent_5_anios;rent_10_anios;Estilo_inversion_RV;Estilo_inversion_ RF;Capitaliz_media_bursatil;Patrimonio;Morningstar_Rating;Volatilidad_3;Sharpe_ 3;Ratio_de_informacion;Media_3;Com_Gestion;ImportFile_CustomBuyFee2;Com_Suscripcion;Com_deposito
2,63;Santander Renta Fija B FI;0;1;ES0146133030;Santander Asset Management SGIIC;60000;-0,06;-0,18;-0,64;-0,8;0,91;1,89;3,94;5,06;2,71;;;;1447,49647;3;2,79;1,45;-0,81;0,33;1,2;0;0;0,1
2,6;NB Renta Fija Largo FI;0;1;ES0168662031;Novo Banco Gestión SGIIC;10;-0,23;-0,55;-0,96;-1,86;1,2;2,78;3,1;4,88;3,69;;;;10,8589;3;3,44;0,99;-0,81;0,28;1,2;0;0;0,05
2,59;BBVA Bonos España Largo Plazo FI;0;1;ES0113465001;BBVA Asset Management SGIIC;10000;-0,05;-0,07;-0,38;-0,45;0,43;1,62;4,01;;;;;;103,77051;3;2,93;1,4;-0,86;0,33;0,75;0;0;0,05
2,58;Renta 4 Pegasus FI;0;1;ES0173321003;Renta 4 Gestora SGIIC;10;-0,06;-0,25;-0,37;0,98;1,43;3,64;2,3;3,92;;1;;8859,1517;337,98609;3;2,7;0,95;-0,7;0,21;1;0;0;0,1
2,48;Bankinter Renta Fija Iris Garantizado FI;0;1;ES0114874037;Bankinter Gestión de Activos SGIIC;500;-0,06;-0,17;-0,98;-1,71;-0,22;1,52;;;;;;;19,46524;;;;;;0,5;0;5;0,1
2,43;Bankinter Renta Fija Cristal Garantizado FI;0;2;ES0130355003;Bankinter Gestión de Activos SGIIC;500;-0,06;-0,17;-0,97;-1,71;-0,23;1,48;;;;;;;20,17529;;;;;;0,5;0;5;0,1
2,38;Aviva Fonvalor Euro B FI;0;2;ES0170136032;Aviva Gestión SGIIC;1000;0,1;1,02;0,67;2,05;6,22;3,73;7,85;12,43;;1;;8544,60672;149,15934;5;8,95;0,89;0,58;0,66;1,3;0;0;0,06
2,34;W4I European Dividend B FI;0;1;ES0184501015;Renta 4 Gestora SGIIC;10;-0,67;1,45;-0,5;2,97;5,88;4,39;;;;1;;20421,0833;3,76113;;;;;;1,35;0;0;0,1
2,34;Aviva Renta Fija B FI;0;2;ES0170138038;Aviva Gestión SGIIC;1000;-0,12;-0,21;-0,34;-0,35;0,85;1,91;4,39;5,97;4,53;;;;107,88604;5;2,39;1,9;-0,3;0,37;1;0;0;0,06
2,32;NB Cesta Acciones 2019 FI;0;1;ES0131423008;Novo Banco Gestión SGIIC;10;0;0,09;1;0,46;2,14;3,07;;;;;;;4,66317;;;;;;0,75;0;5;0,05
2,32;Santander Renta Fija A FI;0;0;ES0146133006;Santander Asset Management SGIIC;1;-0,06;-0,19;-0,67;-0,88;0,76;1,63;3,63;4,61;;;;;1447,49647;3;2,79;1,34;-1,01;0,31;1,5;0;0;0,1
2,3;W4I Iberia Opportunities B FI;0;1;ES0176407015;Renta 4 Gestora SGIIC;10;-1,29;-0,53;-0,84;-0,87;2,77;3,05;;;;2;;8499,19272;3,92434;;;;;;1,35;0;0;0,1
2,24;Leaseten III FI;0;0;ES0158021032;Santander Asset Management SGIIC;30050606;0;0,08;0,15;1,25;1,31;2,03;4,84;6,87;3,77;;;;20,89412;5;2,28;2,15;1,79;0,4;0,04;0;0;0
2,23;Rural Tecnológico Renta Variable FI;0;1;ES0175738030;Gescooperativo SGIIC;300;-1,02;3,55;-1,1;4,76;17,16;5,99;14,88;15,88;7,55;3;;71989,2537;19,1799;4;15,84;0,98;-1,16;1,29;2,25;0;0;0,2
2,21;BBVA Bonos Corporativos Largo Plazo FI;0;1;ES0114205034;BBVA Asset Management SGIIC;600;-0,17;-0,39;-0,68;-1,09;1,03;2,72;1,94;3,71;;;;;199,85859;2;2,93;0,73;-2,36;0,17;1,35;0;0;0,15
2,2;EDM Valores Uno FI;0;3;ES0127796037;EDM Gestión SGIIC;0;-0,09;0,07;-0,15;-0,19;2,39;3,67;2,38;3,65;2,82;3;;30767,39435;10,63032;4;3,18;0,81;-1,32;0,21;0,45;0;0;0,1
2,18;Renta 4 Emergentes Global FI;0;2;ES0173313034;Renta 4 Gestora SGIIC;0;-1,7;0,14;-2,27;-0,65;12,43;7,54;;;;2;;13878,88169;3,17642;;;;;;1,35;0;0;0,12
2,16;Avance Global B FI;0;3;ES0112340007;Alpha Plus Gestora SGIIC;6;-0,12;0,97;2,15;2,5;6,83;6,47;;;;4;;8008,27225;73,45506;;;;;;1,5;0;0;0,15
2,13;EDM-Inversión R FI;0;3;ES0168674036;EDM Gestión SGIIC;0;-0,68;0,85;-1,84;-0,41;8,51;5,64;4,5;12,84;2,92;5;;3519,80397;376,97594;5;12,47;0,46;0,52;0,47;2,25;0;0;0,07
1,98;Trea Global Bond A FI;0;3;ES0105297008;Trea Asset Management SGIIC;0;-0,15;-0,01;0;0,77;1,95;3,01;2,04;;;;;;4,66539;3;3,04;0,73;-0,71;0,18;1,25;0;0;0,12
1,96;EDM-Ahorro FI;0;3;ES0168673038;EDM Gestión SGIIC;0;-0,07;-0,15;-0,04;-0,18;0,89;2,4;1,71;3,21;3,06;;;;178,11909;4;1,56;1,19;0,57;0,15;0,75;0;0;0,16
1,92;Foncam FI;0;1;ES0138712031;Gestifonsa SGIIC;6;-0,12;-0,15;-0,28;-0,48;0,72;2,02;2,95;5,67;4,19;;;;56,65915;4;1,42;2,2;-0,87;0,25;0,6;0;0;0,1
1,89;Mutuafondo Tecnológico D FI;0;2;ES0141222002;Mutuactivos SGIIC;10;0,69;2,11;-0,18;-0,63;11,94;3,61;12,3;14,23;;3;;31548,1913;14,93474;3;12,05;1,07;-1,64;1,07;1,5;0;0;0,02
1,82;UBS Renta Gestión Activa FI;0;1;ES0180933006;UBS Gestión SGIIC;0;0,14;0,45;1,04;2,27;3,02;4,61;;;;;;;51,13216;;;;;;0,5;0;0;0,1
1,82;Mutuafondo Deuda Subordinada FI;0;1;ES0124144009;Mutuactivos SGIIC;10;-0,04;-0,1;-0,19;-0,03;1,05;1,39;3,8;9,2;;;;;136,3051;;2,02;2;;0,33;0,6;0;3;0,02
1,8;BBVA Bonos Patrimonio XV FI;0;1;ES0159151002;BBVA Asset Management SGIIC;20000;-0,03;0,01;-0,21;-0,09;0,41;1,19;;;;;;;149,66286;;;;;;0,51;0;5;0,05
1,8;Fondo Seniors FI;0;1;ES0138623030;Gestifonsa SGIIC;6;-0,14;-0,22;-0,39;-0,66;0,51;1,86;2,35;4,39;3,52;;;;20,37344;5;1,28;2,01;1,52;0,21;1;0;0;0,1
1,75;Optima Renta Fija Flexible FI;0;2;ES0133462004;Allianz Popular Asset Management SGIIC;600;-0,12;-0,22;-0,38;-0,73;1,74;1,83;;;;;;;144,1199;;;;;;1,05;0;0;0
1,73;Bankinter Mercado Español II FI;0;0;ES0114875034;Bankinter Gestión de Activos SGIIC;600;-0,21;-0,43;-0,56;-0,74;3,09;1,43;;;;;;;16,05374;;;;;;0,85;0;5;0,1
1,61;UBS Bonos Gestión Activa FI;0;1;ES0180914006;UBS Gestión SGIIC;0;-0,13;-0,11;-0,18;-0,1;2,09;1,05;1,77;2,69;;;;;18,39723;2;2,11;0,9;-1,13;0,15;0,5;0;0;0,1
1,58;Eurovalor Europa del Este FI;0;2;ES0133554032;Allianz Popular Asset Management SGIIC;600;1,03;0,52;-0,51;1,85;7,9;10,92;-6,91;-2,37;-4,11;1;;6952,24625;9,33849;3;17,49;-0,3;0,05;-0,45;1,35;0;0;0,15
1,52;Best Morgan Stanley FI;0;2;ES0145808004;Andbank Wealth Management SGIIC;1;0,07;0,34;-0,18;-0,4;3,4;2,61;3,58;5,54;;3;7;25654,44722;57,97991;4;5,22;0,73;-1,14;0,31;1,35;0;0;0,1
1,51;Gescooperativo Deuda Corporativa FI;0;1;ES0158603037;Gescooperativo SGIIC;600;-0,05;-0,07;-0,09;0,04;1,57;2,57;1,9;3,68;-1,31;;;;29,01682;3;1,79;1,15;0,33;0,17;1;0;0;0,1
1,5;BBVA Bonos Patrimonio XIV FI;0;1;ES0159150004;BBVA Asset Management SGIIC;20000;-0,03;-0,01;-0,16;-0,1;0,25;0,94;;;;;;;43,82375;;;;;;0,39;0;5;0,05
1,5;Bankia Rentabilidad Objetivo Largo Plazo FI;0;0;ES0118914003;Bankia Fondos SGIIC;100;-0,35;-0,47;-1,2;-1,71;0,07;1,45;6,61;8,97;;;;;8,12381;;4,38;1,53;;0,55;1;0;0;0,1
1,5;Rural Emergentes Renta Variable FI;0;2;ES0174365033;Gescooperativo SGIIC;300;-0,72;0,53;-1,26;-0,54;12,14;6,41;2,6;2,6;0,05;2;;12887,34942;10,00446;3;12,41;0,28;-0,57;0,28;2,25;0;0;0,2
1,49;NB Fondtesoro Largo Plazo FI;0;1;ES0114911037;Novo Banco Gestión SGIIC;10;-0,11;-0,16;-0,37;-0,41;-0,23;0,97;0,71;2,7;1,94;;;;4,47161;3;3,42;0,25;-0,04;0,07;0,55;0;0;0,02
1,45;NB 10 FI;0;1;ES0138839032;Novo Banco Gestión SGIIC;100;0,08;0,2;0,24;0,02;1,64;1,56;2,32;3,52;1,98;;;;67,36044;3;2,59;0,92;-0,99;0,19;1,15;0;0;0,05
1,43;Mutuafondo Bonos Financieros D FI;0;0;ES0124143019;Mutuactivos SGIIC;10;0,1;0,06;0,22;0,43;2,29;1,6;;;;;;;250,2312;;;;;;0,9;0;0;0,02
1,43;Amundi Estrategia Bonos FI;1;3;ES0164371033;Amundi Iberia SGIIC;500;-0,18;-0,2;-0,35;-0,58;0,45;1,21;1;2,08;2,42;;;;14,53338;2;1,81;0,65;-1,56;0,09;1;0;0;0,1
1,39;BBVA Bolsa Asia MF FI;1;2;ES0108929037;BBVA Asset Management SGIIC;600;0,79;-0,39;-0,63;0,27;15,02;6,78;6,41;6,84;4,7;2;;14522,67511;15,86872;3;13,69;0,54;-0,81;0,61;1,35;0;0;0,2
1,38;Altair Patrimonio II FI;0;1;ES0108643000;Renta 4 Gestora SGIIC;1;0,16;0,29;0,26;-0,06;0,33;1,34;;;;;;;28,8241;;;;;;0,7;0;0;0,08
1,36;UBS Corto Plazo Euro FI;0;1;ES0180913008;UBS Gestión SGIIC;0;0,2;0,31;0,98;2;3,55;1,03;2,29;1,73;;;;;117,44643;4;4,23;0,58;0,31;0,2;0,5;0;0;0,08
1,34;Polar Renta Fija FI;0;1;ES0182631004;Mutuactivos SGIIC;10;-0,06;-0,08;-0,1;0,06;1,98;2,49;3,08;;;;;;33,07706;3;3,07;1,07;-0,58;0,27;0,93;0;0;0,02
1,3;BBVA Bonos Patrimonio XII FI;0;1;ES0110009000;BBVA Asset Management SGIIC;20000;-0,03;0,01;-0,13;-0,07;0,27;0,94;;;;;;;175,97801;;;;;;0,54;0;5;0,05
1,27;Renta 4 Renta Fija Mixto FI;0;1;ES0108207038;Renta 4 Gestora SGIIC;10;-0,41;-0,12;-0,64;-0,35;1,78;2,35;1,73;2,67;-0,39;2;;9290,7181;7,67636;2;3,79;0,58;-1,09;0,18;1,6;0;0;0,12
1,26;Mutuafondo Renta Fija Española D FI;0;1;ES0165182017;Mutuactivos SGIIC;10;-0,09;-0,2;-0,14;-0,23;1,41;1,77;;;;;;;96,90978;;;;;;0,8;0;0;0,02
1,25;Dinvalor Global FI;0;2;ES0126553033;Gestifonsa SGIIC;6;-0,03;-0,03;-0,06;-0,05;1,84;2,75;1,91;2,89;;2;;15037,75537;8,94732;3;2,87;0,71;-1,58;0,17;1;0;0;0,1
1,23;Caja Ingenieros Premier FI;1;1;ES0115532030;Caja Ingenieros Gestión SGIIC;1000;0,1;0,23;0,06;-0,34;0,89;1,43;;;;;4;;59,36632;;;;;;0,9;0;0;0,2
1,22;Altair Renta Fija FI;0;1;ES0107574008;Renta 4 Gestora SGIIC;10;0,07;0,06;0,17;0,58;1,18;2,23;;;;;;;9,8414;;;;;;0,75;0;0;0,1
1,22;Bankinter EE.UU. Nasdaq 100 FI;0;1;ES0114105036;Bankinter Gestión de Activos SGIIC;600;-1,56;1,78;-2,73;-0,57;8,17;2,63;12,76;15,75;9,67;3;;112491,4802;19,75849;3;13,96;0,96;-1,06;1,11;1,15;0;0;0,1
1,17;Gestión Multiperfil Moderado FI;0;2;ES0125322000;Andbank Wealth Management SGIIC;1;-0,06;-0,13;-0,09;-0,38;1,1;1,66;0,8;;;2;7;14872,58521;39,20076;3;1,03;0,88;-1,53;0,07;0,45;0;0;0,1
1,13;Bankinter Renta Fija Roble 2019 FI;0;2;ES0113065009;Bankinter Gestión de Activos SGIIC;500;-0,13;-0,14;-0,18;-0,15;0,17;0,84;;;;;;;7,29;;;;;;0,58;0;0;0,1
1,12;Alpha Plus Renta Fija Dinámica B FI;0;1;ES0108686017;Alpha Plus Gestora SGIIC;10;0,18;0,12;0,58;1,13;2,29;2,07;0,74;3,97;;;;;7,10888;3;3,89;0,22;-0,89;0,07;1,1;0;0;0,1
1,09;Attitude Opportunities FI;0;1;ES0111192003;Attitude Gestión SGIIC;0;-0,01;-0,31;-0,14;-0,26;1,59;2,43;2,81;2,96;;7;;345,12512;84,34025;;2,34;1,34;;0,26;1,35;0;0;0,1
1,09;Rural Renta Fija 5 FI;0;1;ES0175735036;Gescooperativo SGIIC;300;-0,22;-0,39;-0,66;-0,75;0,88;2,16;3,11;5,36;2,75;;;;34,51972;3;2,75;1,23;-0,96;0,28;1,5;0;0;0,05
1,08;Eurovalor Renta Fija FI;0;1;ES0133864035;Allianz Popular Asset Management SGIIC;600;-0,1;-0,29;-0,71;-1,31;0,66;1,01;2,2;3,14;1,74;;;;91,36698;2;2,49;0,97;-1,4;0,2;2;0;0;0
1,06;Santander Selección RV Asia FI;1;4;ES0107764039;Santander Asset Management SGIIC;6000;0,51;-0,73;-1,38;0,11;13,43;5,23;4,37;5,48;5,25;2;;18360,59625;12,46749;3;13,42;0,4;-1,61;0,45;2,2;0;0;0,1
1,05;BBVA Bonos Plazo IV FI;0;1;ES0114389036;BBVA Asset Management SGIIC;600;-0,03;0,01;-0,15;-0,17;0,06;0,52;;;;;;;57,66377;;;;;;0,5;0;5;0,05
1,04;NB Capital Plus FI;0;1;ES0125240038;Novo Banco Gestión SGIIC;10;-0,07;-0,12;-0,1;-0,23;0,51;1,26;1,98;3,34;2,78;;;;276,79962;5;1,18;1,83;1,11;0,17;0,55;0;0;0,05
1;BBVA Bonos Plazo II FI;0;1;ES0113819009;BBVA Asset Management SGIIC;600;-0,01;0,02;-0,1;-0,1;0,01;0,71;3,65;;;;;;49,91383;;2,37;1,56;;0,3;0,41;0;5;0,05
0,99;Bankinter España 2020 II Garantizado FI;0;1;ES0114795034;Bankinter Gestión de Activos SGIIC;500;-0,04;-0,1;-0,39;-0,61;0,44;1,55;;;;;;;37,84781;;;;;;1;0;5;0,1
0,91;BBVA Bonos Patrimonio XI FI;0;1;ES0159149006;BBVA Asset Management SGIIC;20000;-0,07;-0,04;-0,23;-0,23;0,06;0,38;;;;;;;60,38311;;;;;;0,5;0;0;0
0,91;NB Patrimonio FI;0;1;ES0137765030;Novo Banco Gestión SGIIC;10;0,08;0,11;0,09;0,14;0,41;0,83;0,45;1,01;;;;;38,03465;3;0,49;0,98;0,96;0,04;0,55;0;0;0,05
0,9;BBVA Bonos Patrimonio IX FI;0;1;ES0118847005;BBVA Asset Management SGIIC;50000;-0,08;-0,05;-0,1;-0,14;-0,02;0,51;4,24;;;;;;65,96788;;2,38;1,81;;0,35;0,41;0;5;0,05
0,9;RV 30 Fond FI;0;1;ES0173856032;Gestifonsa SGIIC;6;-0,21;0,25;0,01;-0,01;1,84;2,06;3,2;5,51;2,15;1;;15253,39761;57,22337;4;4,08;0,86;-0,64;0,29;1,25;0;0;0,1
0,89;Quality Commodities FI;0;2;ES0172243000;BBVA Asset Management SGIIC;3000;0,49;-0,44;0,28;-0,07;7,12;13,29;-7,28;-8,28;;2;;22523,61356;4,2373;3;13,49;-0,46;-0,83;-0,52;0,95;0;0;0,2
0,86;Eurovalor Patrimonio FI;0;1;ES0133617037;Allianz Popular Asset Management SGIIC;12000;-0,02;-0,04;-0,08;-0,11;0,6;0,8;1,5;2,53;1,69;;;;618,67275;4;0,99;1,68;0,79;0,13;0,7;0;0;0,15
0,86;Mutuafondo LP D FI;0;1;ES0165240005;Mutuactivos SGIIC;10;-0,19;-0,12;-0,18;-0,5;1,78;2,78;3,52;5,44;;;;;126,75006;4;3,23;1,16;-0,56;0,31;0,9;0;0;0,02
0,83;Eurovalor Conservador Dinámico B FI;0;2;ES0133614034;Allianz Popular Asset Management SGIIC;600;-0,07;-0,07;-0,13;-0,18;0,64;1,18;0,23;1,27;1,4;;;;339,33703;;1,09;0,32;;0,02;0,95;0;0;0
0,81;Merch-Universal FI;0;2;ES0182105033;Merchbanc SGIIC;0;0,34;3,41;1,94;2,31;6,61;3,07;1,87;3,9;2,75;2;;39985,00278;30,48445;2;7,5;0,23;-1,45;0,14;1,5;0;0;0,1
0,76;BBVA Bonos Patrimonio VI FI;0;1;ES0110008002;BBVA Asset Management SGIIC;600;-0,01;0,01;-0,04;-0,08;0,09;0,48;3,48;;;;;;43,44681;;2,01;1,8;;0,29;0,64;0;5;0
0,76;Eurovalor Renta Fija Corto FI;0;1;ES0138986031;Allianz Popular Asset Management SGIIC;600;-0,03;-0,08;-0,22;-0,3;0,49;0,73;1,51;2,64;1,74;;;;143,45734;4;1;1,68;0,85;0,13;1;0;0;0
0,75;Bankinter Gestión Abierta FI;0;1;ES0114867031;Bankinter Gestión de Activos SGIIC;500;-0,1;-0,27;-0,55;-0,91;0,3;0,71;2,68;3,78;2,67;;;;394,15394;3;1,84;1,58;-1,01;0,23;1,2;0;0;0,15
0,75;Eurovalor Asia FI;0;3;ES0133539033;Allianz Popular Asset Management SGIIC;600;-0,95;0,14;-2,41;-0,4;13,6;5,71;5,09;5,4;4,03;2;;17834,33571;18,00754;3;13,59;0,48;-0,56;0,53;1,35;0;0;0,15
0,66;Rural Garantizado 9,70 FI;0;1;ES0174371031;Gescooperativo SGIIC;300;-0,1;-0,11;-0,24;-0,27;-0,08;0,4;;;;;;;93,0368;;;;;;0,5;0;3;0,05
0,65;FCS Gestión Flexible FI;0;1;ES0165947005;Novo Banco Gestión SGIIC;10;-0,11;-0,04;-0,5;-0,88;1,44;1,53;;;;1;;16977,43083;3,08767;;;;;;1,35;0;0;0,05
0,64;Renta 4 Delta FI;0;1;ES0173317035;Renta 4 Gestora SGIIC;10;0,26;0,56;0,61;1,94;1,07;1,7;4,09;4,87;3,23;1;;8027,32928;4,85623;5;4,11;1,01;-0,9;0,34;1;0;0;0,1
0,61;March Premier Renta Fija Corto Plazo FI;0;2;ES0161032034;March Asset Management SGIIC;60000;-0,01;-0,03;0,05;0,03;0,22;0,57;0,7;1,57;2,07;;7;;409,69668;4;0,46;1,7;1,68;0,06;0,4;0;0;0
0,6;BBVA Bonos Duración FI;0;1;ES0114487038;BBVA Asset Management SGIIC;35000;0,09;0,14;-0,16;-0,19;0,46;0,61;1,95;4,18;3,94;;;;774,5384;4;1,9;1,06;-1,38;0,16;0,65;0;0;0,15
0,59;BBVA Bonos Rentas IV FI;0;1;ES0138889037;BBVA Asset Management SGIIC;600;-0,05;-0,05;-0,23;-0,27;-0,21;0,3;;;;;;;68,2406;;;;;;0,72;0;5;0,05
0,59;Gesdivisa FI;0;2;ES0142437039;Novo Banco Gestión SGIIC;60;0,57;1,21;1,61;0,34;3,08;3,5;1,31;3,4;0,97;1;;16462,88265;49,43782;;5,58;0,28;;0,13;0,75;0;0;0,1
0,59;UBS Mixto Gestión Activa P FI;0;2;ES0158316002;UBS Gestión SGIIC;1;-0,05;0,21;-0,49;-0,77;2,34;1,98;2,28;3,6;;1;8;14934,71063;30,87863;3;4,38;0,56;-1,79;0,2;0,85;0;0;0,1
0,58;Bankinter España 2020 Garantizado FI;0;1;ES0114791033;Bankinter Gestión de Activos SGIIC;500;-0,04;-0,03;-0,25;-0,34;0,4;1,09;;;;;;;11,78865;;;;;;1,1;0;5;0,1
0,58;Gestión Boutique Ginvest Mediterráneo Ahorro FI;0;3;ES0116831068;Andbank Wealth Management SGIIC;10;0,07;-0,42;-0,36;-0,48;1,87;1,5;;;;2;7;6813,49725;5,10868;;;;;;1,2;0;0;0,1
0,57;Bankinter Renta Fija Atlas 2018 Garantizado FI;0;2;ES0113063004;Bankinter Gestión de Activos SGIIC;500;-0,01;-0,01;-0,04;-0,12;-0,11;0,23;3,02;;;;;;26,44258;;1,79;1,78;;0,26;0,75;0;5;0,1
0,56;Trea Cajamar Corto Plazo FI;0;3;ES0114546031;Trea Asset Management SGIIC;1000;-0,02;-0,02;-0,02;0,13;0,61;0,55;0,57;1,29;1,57;;;;214,7916;;0,28;2,33;2,31;0,05;0,4;0;0;0,05
0,55;March Patrimonio Corto Plazo FI;0;3;ES0160990000;March Asset Management SGIIC;0;-0,03;-0,07;-0,03;0,05;0,38;0,53;1,08;;;;;;39,43502;5;0,83;1,46;1,46;0,1;0,4;0;0;0,05
0,55;Bankinter Renta Fija Largo Plazo FI;0;1;ES0114837034;Bankinter Gestión de Activos SGIIC;50;-0,17;-0,29;-0,53;-0,98;0,33;0,66;3,44;5,22;3,9;;;;299,40378;4;2,2;1,66;-0,76;0,3;1,2;0;0;0,15
0,53;BBVA Bonos Patrimonio V FI;0;1;ES0159147000;BBVA Asset Management SGIIC;600;-0,02;-0,01;-0,09;-0,05;0,16;0,32;2,9;;;;;;6,69752;;1,67;1,84;;0,25;0,26;0;5;0,05
0,53;Rural Rentas Garantizado FI;0;1;ES0174339038;Gescooperativo SGIIC;300;-0,11;-0,1;-0,19;-0,21;-0,04;0,42;3,49;3,7;;;;;130,77818;;2,35;1,52;;0,29;0,5;0;3;0,05
0,53;Caja Ingenieros Gestión Dinámica FI;2;2;ES0119488007;Caja Ingenieros Gestión SGIIC;1000;-0,66;-0,93;-1,19;-1,89;-0,04;0,36;1,19;0,75;;2;7;12142,9493;15,02926;;2,86;0,65;;0,15;1,35;0;0;0,2
0,52;BBVA Bonos Internacional Flexible FI;0;2;ES0110174036;BBVA Asset Management SGIIC;600;-0,07;-0,29;-0,38;-0,41;0,56;1,11;2,44;2,69;2,03;;;;1737,43867;3;2,22;1,1;-0,61;0,2;1;0;0;0,15
0,5;Merchrenta FI;0;2;ES0162333035;Merchbanc SGIIC;0;0,05;0,06;0;-0,21;0,27;1,12;-0,06;0,03;0,9;;;;14,00042;2;1,04;0,04;-1,44;0;1;0;0;0,1
0,49;Imantia Corto Plazo Institucional FI;0;1;ES0107432009;Imantia Capital SGIIC;100000;0,01;0;0,01;0;0,07;0,5;;;;;;;90,53992;;;;;;0,35;0;0;0,08
0,48;Rural Renta Fija 3 FI;0;1;ES0123971030;Gescooperativo SGIIC;300;-0,11;-0,18;-0,31;-0,5;0,05;0,79;1,89;3,43;1,98;;;;140,04061;4;1,56;1,33;0,8;0,17;1,25;0;0;0,05
0,44;Santander Renta Fija Flexible FI;0;1;ES0107942007;Santander Asset Management SGIIC;20000;-0,1;-0,19;-0,35;-1,44;-0,93;0,53;;;;;;;118,60649;;;;;;0,7;0;0;0,05
0,42;Bona-Renda FI;0;3;ES0115091037;GVC Gaesco Gestión SGIIC;0;-0,63;0,98;-0,17;1,4;8,68;2,72;3,75;5,82;0,61;5;;6289,90054;4,93271;3;11,85;0,42;-0,12;0,41;1,5;0;0;0,2
0,41;BBVA Bonos Patrimonio VIII FI;0;1;ES0145927036;BBVA Asset Management SGIIC;50000;-0,07;-0,05;-0,14;-0,23;-0,18;0,15;3,45;;;;;;200,36315;;2,27;1,57;;0,29;0,94;0;5;0,05
0,41;Mutuafondo D FI;0;1;ES0165237001;Mutuactivos SGIIC;10;-0,03;-0,02;-0,02;-0,18;1,03;1,07;1,99;3,6;;;;;866,00089;5;1,76;1,21;0,69;0,17;0,7;0;0;0,01
0,39;BBVA Bonos Patrimonio VII FI;0;1;ES0159148008;BBVA Asset Management SGIIC;30000;-0,13;-0,1;-0,14;-0,2;-0,19;0,09;3,45;;;;;;18,98192;;2,18;1,65;;0,29;0,75;0;5;0,05
0,39;Rural Castilla La Mancha FI;1;1;ES0174388035;Gesconsult SGIIC;1;0,11;0,07;0,06;-0,11;0,64;0,86;;;;1;;9172,30114;21,57884;;;;;;1;0;0;0,08
0,38;Renta 4 Monetario FI;0;1;ES0128520006;Renta 4 Gestora SGIIC;10;0;0;0,01;0,06;0,14;0,32;0,86;1,88;;;;;654,87601;;0,2;5,78;5,63;0,07;0,2;0;0;0,1
0,37;Dinfondo FI;0;1;ES0126536038;Gestifonsa SGIIC;6;-0,18;-0,12;-0,25;-0,47;0,51;0,96;2,15;4,46;2,8;1;;14681,56209;27,19419;4;2,16;1,1;-0,97;0,19;1,25;0;0;0,1
0,37;Merch-Fontemar FI;0;2;ES0138914033;Merchbanc SGIIC;0;0,09;1,44;0,92;1,85;3,6;1,63;0,74;0,82;1,3;1;;79261,69442;34,37786;2;4,07;0,19;-1,54;0,06;1,5;0;0;0,1
0,37;Bankia Bonos Internacional FI;0;0;ES0159178039;Bankia Fondos SGIIC;100;0,07;-0,01;0,27;-0,04;1,55;1,31;3,05;2,55;2,77;9;8;;24,94886;2;2,97;1,1;-0,65;0,27;1,25;0;0;0,1
0,36;Altair Inversiones II FI;0;1;ES0108526007;Renta 4 Gestora SGIIC;1;-0,01;1,03;0,61;0,9;2,79;1,51;;;;9;;703,58815;19,72239;;;;;;1,35;0;0;0,08
0,35;DWS Bonos 2016 A FI;0;2;ES0127098004;Deutsche Asset Management SGIIC;10;0;-0,01;-0,02;-0,33;-0,03;0,69;1,68;;;;;;9,71788;;1,3;1,37;;0,14;1,2;0;0;0,07
0,34;Amundi Estrategia Global FI;0;2;ES0126545039;Amundi Iberia SGIIC;600;-0,13;-0,09;0,04;-1,18;1,54;1,13;2,55;4,31;;3;;18392,45255;18,15306;4;4,72;0,6;-1,92;0,23;1,35;0;0;0,1
0,33;Metavalor Global FI;0;1;ES0162741005;Metagestión SGIIC;60;-0,75;0,74;-2,02;-1,6;5,19;3,97;5,55;5,97;;2;;22489,33689;241,86241;4;8,01;0,81;-0,7;0,54;1,7;0;0;0,08
0,32;Adriza Neutral FI;0;2;ES0118537002;Tressis Gestión SGIIC;0;0,17;0,95;1;1,73;5,55;1,92;4,93;8,19;4,33;1;;29838,30243;46,64922;5;6,45;0,79;-0,96;0,42;1,5;0;0;0,1
0,32;CS Corto Plazo FI;0;1;ES0155598032;Credit Suisse Gestión SGIIC;500;0,01;0;0,01;0,02;0,1;0,3;0,5;1,18;1,32;;;;962,18281;;0,17;3,43;3,36;0,04;0,3;0;0;0,05
0,31;Gesconsult Corto Plazo FI;0;1;ES0138922036;Gesconsult SGIIC;6,01;-0,02;0;-0,03;0,05;0,21;0,45;0,79;1,5;2,07;;;;100,38291;5;0,49;1,81;1,8;0,07;0,6;0;0;0,1
0,29;Santander Renta Fija Corto Plazo A FI;0;1;ES0105931002;Santander Asset Management SGIIC;1;-0,05;-0,06;-0,13;-0,22;-0,06;0,26;;;;;;;809,22651;;;;;;0,65;0;0;0,05
0,29;Alhaja Inversiones RV Mixto FI;0;1;ES0108191000;Renta 4 Gestora SGIIC;10;-1,06;-0,22;-0,44;-0,91;1,48;2,08;;;;2;;12230,84557;3,70235;;;;;;1,3;0;0;0,1
